GalaxyName,Class,Family,NPoints,RMSLog,ImprovementVsFixedS1,Coefficients,FitUse,Guardrail
NGC3917,A,linear_acceleration,17,0.192878674,-0.000108710,1.030392122;-0.041848731,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC3917,A,quadratic_acceleration,17,0.189991753,0.002778211,4.225828256;-8.031267286;4.838876601,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC3917,A,radius_plus_acceleration,17,0.179989158,0.012780806,1.658511475;0.809024880;-1.437754015,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC3972,A,galaxy_constant,10,0.192108240,0.027707217,1.123339331,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC3972,A,linear_radius,10,0.192792323,0.027023133,0.966306069;0.258010693,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC3972,A,quadratic_radius,10,0.189151557,0.030663899,0.680625369;1.586603391;-1.149524338,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC3972,A,linear_acceleration,10,0.192812911,0.027002546,0.514884961;0.995002988,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC3972,A,quadratic_acceleration,10,0.185406710,0.034408747,-4.805049576;18.070952034;-13.325260081,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC3972,A,radius_plus_acceleration,10,0.192553755,0.027261701,0.197907401;-0.328106500;1.839916744,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC4183,A,galaxy_constant,23,0.145730947,-0.001415887,0.969592380,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC4183,A,linear_radius,23,0.116218603,0.028096457,1.141953514;-0.275159616,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC4183,A,quadratic_radius,23,0.107611104,0.036703956,1.462595097;-1.803241169;1.357004460,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC4183,A,linear_acceleration,23,0.122984532,0.021330528,1.246104158;-0.241795562,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC4183,A,quadratic_acceleration,23,0.112302857,0.032012202,3.311603260;-4.159996582;1.758901614,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC4183,A,radius_plus_acceleration,23,0.113271388,0.031043672,-0.035074820;-2.148853676;2.055584088,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC4559,A,galaxy_constant,32,0.081877961,-0.012087171,0.732710763,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC4559,A,linear_radius,32,0.092102266,-0.022311476,0.591854854;0.208413368,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC4559,A,quadratic_radius,32,0.086942482,-0.017151692,0.292810530;1.433220682;-1.025899668,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC4559,A,linear_acceleration,32,0.093353652,-0.023562862,0.494369779;0.251680428,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC4559,A,quadratic_acceleration,32,0.088024415,-0.018233625,0.122452628;1.346182891;-0.692317048,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC4559,A,radius_plus_acceleration,32,0.087400925,-0.017610136,0.231654205;-1.202216103;1.387090689,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC5055,C,galaxy_constant,28,0.064465777,0.022213360,0.771922749,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC5055,C,linear_radius,28,0.081581742,0.005097396,0.532982747;0.328146871,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC5055,C,quadratic_radius,28,0.078569444,0.008109693,0.116451515;1.811990311;-1.150182657,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC5055,C,linear_acceleration,28,0.082984937,0.003694200,0.474445978;0.269293470,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC5055,C,quadratic_acceleration,28,0.073981411,0.012697726,0.349014029;0.771727833;-0.323255588,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC5055,C,radius_plus_acceleration,28,0.076613601,0.010065537,0.499554176;-0.816567515;0.784815814,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC5585,A,galaxy_constant,24,0.096231816,-0.007692048,0.901837507,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC5585,A,linear_radius,24,0.116099005,-0.027559237,0.503301317;0.705235371,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC5585,A,quadratic_radius,24,0.101336131,-0.012796363,0.244328947;2.319138974;-1.555996263,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC5585,A,linear_acceleration,24,0.113489536,-0.024949768,0.070606252;0.803514768,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC5585,A,quadratic_acceleration,24,0.104160132,-0.015620364,-0.768066993;2.800337425;-1.060291887,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC5585,A,radius_plus_acceleration,24,0.106622922,-0.018083153,-0.625176405;-1.309975372;2.191694811,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC6503,A,galaxy_constant,31,0.129546476,-0.008544579,1.134005545,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC6503,A,linear_radius,31,0.143766730,-0.022764834,0.991569399;0.203056501,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC6503,A,quadratic_radius,31,0.142023720,-0.021021823,1.093098018;-0.164494677;0.288680836,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC6503,A,linear_acceleration,31,0.143711818,-0.022709922,0.947387904;0.139077681,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC6503,A,quadratic_acceleration,31,0.143476328,-0.022474431,1.064080664;-0.100792777;0.108219319,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC6503,A,radius_plus_acceleration,31,0.143416965,-0.022415068,1.011146770;0.270045012;-0.049609503,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC7331,A,galaxy_constant,36,0.121535506,-0.026058142,0.842400496,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC7331,A,linear_radius,36,0.121704248,-0.026226884,0.210592009;0.826882944,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC7331,A,quadratic_radius,36,0.119655277,-0.024177914,-0.373505281;2.727078831;-1.396570911,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
NGC7331,A,linear_acceleration,36,0.120778206,-0.025300842,0.441523030;0.676104234,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
