Galaxy,StellarMassVariant,RadiusKpc,VobsKms,ErrVobsKms,VbarKms,Model,VmodelKms,LogResidual,aN_over_a0,TPGLogKernel,RequiredS_tauDiagnostic,RadiusMatching,EndpointUse,ForbiddenUse,Guardrail
DDO50,kinematic,1.730000000,27.987600000,3.790000000,17.071161132,NewtonianBaryonic,17.071161132,0.214702597,0.045493383,1.128483833,0.566660035,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
DDO50,kinematic,1.730000000,27.987600000,3.790000000,17.071161132,MONDSimpleMu,38.984340447,-0.143924533,0.045493383,1.128483833,0.566660035,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
DDO50,kinematic,1.730000000,27.987600000,3.790000000,17.071161132,EmpiricalRARLike,38.951340266,-0.143556747,0.045493383,1.128483833,0.566660035,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
DDO50,kinematic,1.730000000,27.987600000,3.790000000,17.071161132,FixedTPG_S1,36.335690474,-0.113367759,0.045493383,1.128483833,0.566660035,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
DDO50,kinematic,1.850000000,31.030000000,3.380000000,17.851881983,NewtonianBaryonic,17.851881983,0.240097768,0.046522655,1.120783963,0.658639052,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
DDO50,kinematic,1.850000000,31.030000000,3.380000000,17.851881983,MONDSimpleMu,40.564029423,-0.116359313,0.046522655,1.120783963,0.658639052,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
DDO50,kinematic,1.850000000,31.030000000,3.380000000,17.851881983,EmpiricalRARLike,40.528962240,-0.115983708,0.046522655,1.120783963,0.658639052,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
DDO50,kinematic,1.850000000,31.030000000,3.380000000,17.851881983,FixedTPG_S1,37.859985013,-0.086398662,0.046522655,1.120783963,0.658639052,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
DDO50,kinematic,1.850000000,28.531100000,3.380000000,17.851881983,NewtonianBaryonic,17.851881983,0.203634509,0.046522655,1.120783963,0.533744653,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
DDO50,kinematic,1.850000000,28.531100000,3.380000000,17.851881983,MONDSimpleMu,40.564029423,-0.152822573,0.046522655,1.120783963,0.533744653,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
